,Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2020,2021,CD_code
101,MN 10,Central Harlem,Housing Market and Conditions,Eligible to expire from housing programs between 2028 and 2037 (units),"Total number of units in properties eligible to expire between 2026 and 2035 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,"5,372",310
102,MN 10,Central Harlem,Housing Market and Conditions,Eligible to expire from housing programs in 2038 and later (properties),"Total number of properties eligible to expire in 2036 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,205,310
103,MN 10,Central Harlem,Housing Market and Conditions,Eligible to expire from housing programs in 2038 and later (units),"Total number of units in properties eligible to expire in 2036 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,"7,613",310
0,MN 11,East Harlem,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,55.7%,53.9%,59.8%,,,311
1,MN 11,East Harlem,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,9.8%,12.5%,,,311
2,MN 11,East Harlem,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,21.1%,23.1%,25.9%,19.5%,,,311
3,MN 11,East Harlem,Demographics,Population,"All people, both children and adults, living in a given geographic area.","115,433","134,287","114,525","111,452",,,311
4,MN 11,East Harlem,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,11.5%,10.4%,12.5%,13.4%,,,311
5,MN 11,East Harlem,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,38.1%,36.5%,26.9%,19.1%,,,311
6,MN 11,East Harlem,Demographics,Single-person households,The share of households that include only one person.,,36.0%,39.1%,52.8%,,,311
7,MN 11,East Harlem,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,2.7%,4.0%,7.0%,5.2%,,,311
8,MN 11,East Harlem,Demographics,Percent Black,The percentage of the total population that identifies as black (non-Hispanic).,34.9%,31.2%,32.1%,35.9%,,,311
9,MN 11,East Harlem,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,52.8%,51.9%,46.2%,43.0%,,,311
10,MN 11,East Harlem,Demographics,Percent white,The percentage of the total population that identifies as white (non-Hispanic).,7.3%,11.0%,13.3%,14.0%,,,311
11,MN 11,East Harlem,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.59,0.62,0.66,0.66,,,311
12,MN 11,East Harlem,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,6.5,6.3,10.1,,,311
13,MN 11,East Harlem,Demographics,Median household income (2021$),The median household's total income of all members of the household aged 15 years or older.,"$37,980","$35,780","$37,100","$34,060",,,311
14,MN 11,East Harlem,Demographics,"Median household income, homeowners (2021$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$71,650","$104,460","$125,840",,,311
15,MN 11,East Harlem,Demographics,"Median household income, renters (2021$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$32,430","$34,430","$31,260",,,311
16,MN 11,East Harlem,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,37.1%,36.9%,30.8%,34.0%,,,311
17,MN 11,East Harlem,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,30.1%,29.3%,43.1%,,,311
18,MN 11,East Harlem,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,46.4%,44.2%,42.0%,,,311
19,MN 11,East Harlem,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,52.9%,53.3%,53.7%,,,311
20,MN 11,East Harlem,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,36.5%,27.6%,23.5%,,,311
21,MN 11,East Harlem,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",16.82%,10.60%,14.77%,6.08%,,,311
22,MN 11,East Harlem,Housing Market and Conditions,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,6.3%,7.6%,6.6%,5.5%,,,311
23,MN 11,East Harlem,Housing Market and Conditions,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"48,684","48,240","56,147",,,311
24,MN 11,East Harlem,Housing Market and Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,2.7%,3.6%,,,311
25,MN 11,East Harlem,Housing Market and Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,62.4,51.0,115.2,68.1,83.9,311
26,MN 11,East Harlem,Housing Market and Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,4.3%,3.8%,,,311
27,MN 11,East Harlem,Housing Market and Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,329.6,322.8,410.0,218.4,341.5,311
28,MN 11,East Harlem,Housing Market and Conditions,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",26.2,1.8,16.1,4.3,0.9,3.5,311
29,MN 11,East Harlem,Housing Market and Conditions,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,34,6,35,13,2,11,311
30,MN 11,East Harlem,Housing Market and Conditions,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,16,2,25,6,1,5,311
31,MN 11,East Harlem,Housing Market and Conditions,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,2,0,3,4,1,3,311
32,MN 11,East Harlem,Housing Market and Conditions,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,24.9,16.4,12.1,311
33,MN 11,East Harlem,Housing Market and Conditions,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,57,38,28,311
34,MN 11,East Harlem,Housing Market and Conditions,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,0,0,1,,,,311
35,MN 11,East Harlem,Housing Market and Conditions,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.0%,12.7%,0.0%,0.0%,,311
36,MN 11,East Harlem,Housing Market and Conditions,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,2.2%,0.0%,0.0%,0.0%,,311
37,MN 11,East Harlem,Housing Market and Conditions,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,27.0%,0.8%,2.6%,0.6%,,311
38,MN 11,East Harlem,Housing Market and Conditions,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,36.3,9.3,11.4,8.5,,311
39,MN 11,East Harlem,Housing Market and Conditions,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,89.8%,1.4%,72.7%,80.5%,,311
40,MN 11,East Harlem,Housing Market and Conditions,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,3.7%,80.3%,7.3%,3.8%,,311
41,MN 11,East Harlem,Housing Market and Conditions,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,8.3,15.4,8.1,16.8,,311
42,MN 11,East Harlem,Housing Market and Conditions,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,1,1,1,1,0,0,311
43,MN 11,East Harlem,Housing Market and Conditions,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,4,23,6,8,5,13,311
44,MN 11,East Harlem,Housing Market and Conditions,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,22,27,15,16,19,18,311
45,MN 11,East Harlem,Housing Market and Conditions,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,23,88,85,107,45,88,311
46,MN 11,East Harlem,Housing Market and Conditions,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,50,139,107,132,69,119,311
47,MN 11,East Harlem,Housing Market and Conditions,"Median sales price per unit, 1 family building (2021$)",The median price per unit for one unit buildings.,,"$1,324,100","$121,360","$1,628,790",,,311
48,MN 11,East Harlem,Housing Market and Conditions,"Median sales price per unit, 2-4 family building (2021$)",The median price per unit for two- to four-unit buildings.,,"$414,690","$427,270","$750,910","$693,940","$650,000",311
49,MN 11,East Harlem,Housing Market and Conditions,"Median sales price per unit, 5+ family building (2021$)",The median price per unit for multifamily buildings.,,"$223,500","$209,340","$255,380","$103,320","$136,200",311
50,MN 11,East Harlem,Housing Market and Conditions,"Median sales price per unit, condominium (2021$)",The median price per unit for condominiums.,,"$663,500","$529,110","$862,430","$754,210","$726,380",311
51,MN 11,East Harlem,Housing Market and Conditions,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,20.8,,,,,311
52,MN 11,East Harlem,Housing Market and Conditions,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,167.4,238.8,201.2,416.8,429.8,311
53,MN 11,East Harlem,Housing Market and Conditions,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,359.9,473.6,713.3,305.2,595.7,311
54,MN 11,East Harlem,Housing Market and Conditions,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,271.9,237.1,357.8,333.3,327.6,311
55,MN 11,East Harlem,Housing Market and Conditions,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,299.0,293.5,432.7,385.5,395.7,311
56,MN 11,East Harlem,Land Use and Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,57.8,49.3,48.0,,,311
57,MN 11,East Harlem,Land Use and Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,334,0,327,823,350,,311
58,MN 11,East Harlem,Land Use and Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,210,764,981,343,759,,311
59,MN 11,East Harlem,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",85.2%,89.0%,89.1%,94.2%,,,311
60,MN 11,East Harlem,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,35.5,33.9,33.7,35.7,,,311
61,MN 11,East Harlem,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,16.2,14.4,16.3,18.4,18.7,311
62,MN 11,East Harlem,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,7.6,6.5,8.2,10.0,8.8,311
63,MN 11,East Harlem,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,8.6,7.9,8.1,8.4,9.9,311
64,MN 11,East Harlem,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,44.5%,,,311
65,MN 11,East Harlem,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,38.4%,,,311
66,MN 11,East Harlem,Renters,"Median rent, 2- and 3-bedrooms (2021$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,$760,$880,,,311
67,MN 11,East Harlem,Renters,"Median rent, all (2021$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",$780,$740,$970,$940,,,311
68,MN 11,East Harlem,Renters,"Median rent, recent movers (2021$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,560","$1,790",,,311
69,MN 11,East Harlem,Renters,"Median rent, studios and 1-bedrooms (2021$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,$840,$990,,,311
70,MN 11,East Harlem,Renters,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,-6.6%,,311
71,MN 11,East Harlem,Renters,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,25.7%,22.8%,,,311
72,MN 11,East Harlem,Renters,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,51.1%,53.5%,,,311
73,MN 11,East Harlem,Renters,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,81.5%,89.1%,,,311
74,MN 11,East Harlem,Renters,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,22.6%,25.9%,21.5%,,,311
75,MN 11,East Harlem,Renters,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,29.3%,30.7%,,,311
76,MN 11,East Harlem,Renters,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,10.5%,19.6%,,,311
77,MN 11,East Harlem,Renters,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,20.3%,,19.8%,24.7%,,,311
78,MN 11,East Harlem,Renters,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,28.0%,31.2%,,,311
79,MN 11,East Harlem,Renters,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,2.6%,2.4%,,,311
80,MN 11,East Harlem,Renters,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,10.3%,10.3%,10.3%,,311
81,MN 11,East Harlem,Renters,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,,,,,,29.7%,311
82,MN 11,East Harlem,Housing Market and Conditions,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,,651,311
83,MN 11,East Harlem,Housing Market and Conditions,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,,8,311
84,MN 11,East Harlem,Housing Market and Conditions,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,,"1,363",311
85,MN 11,East Harlem,Housing Market and Conditions,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,,43,311
86,MN 11,East Harlem,Housing Market and Conditions,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,,"5,206",311
87,MN 11,East Harlem,Housing Market and Conditions,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,,179,311
88,MN 11,East Harlem,Housing Market and Conditions,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),,,,,,"7,828",311
89,MN 11,East Harlem,Housing Market and Conditions,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,34,311
90,MN 11,East Harlem,Housing Market and Conditions,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,"15,556",311
91,MN 11,East Harlem,Housing Market and Conditions,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,,,,,,8,311
92,MN 11,East Harlem,Housing Market and Conditions,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),,,,,,"5,201",311
93,MN 11,East Harlem,Housing Market and Conditions,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),,,,,,75,311
94,MN 11,East Harlem,Housing Market and Conditions,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),,,,,,"4,514",311
95,MN 11,East Harlem,Housing Market and Conditions,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,,,,,,128,311
96,MN 11,East Harlem,Housing Market and Conditions,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),,,,,,"4,714",311
97,MN 11,East Harlem,Housing Market and Conditions,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",,,,,,241,311
98,MN 11,East Harlem,Housing Market and Conditions,Eligible to expire from housing programs between 2022 and 2027 (properties),"Total number of properties eligible to expire between 2021 and 2025 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,33,311
99,MN 11,East Harlem,Housing Market and Conditions,Eligible to expire from housing programs between 2022 and 2027 (units),"Total number of units in properties eligible to expire between 2021 and 2025 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,"1,851",311
100,MN 11,East Harlem,Housing Market and Conditions,Eligible to expire from housing programs between 2028 and 2037 (properties),"Total number of properties eligible to expire between 2026 and 2035 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,70,311
101,MN 11,East Harlem,Housing Market and Conditions,Eligible to expire from housing programs between 2028 and 2037 (units),"Total number of units in properties eligible to expire between 2026 and 2035 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,"7,647",311
102,MN 11,East Harlem,Housing Market and Conditions,Eligible to expire from housing programs in 2038 and later (properties),"Total number of properties eligible to expire in 2036 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,102,311
103,MN 11,East Harlem,Housing Market and Conditions,Eligible to expire from housing programs in 2038 and later (units),"Total number of units in properties eligible to expire in 2036 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,"5,680",311
0,MN 12,Washington Heights/Inwood,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,38.5%,34.6%,38.6%,,,312
1,MN 12,Washington Heights/Inwood,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,8.3%,11.7%,,,312
2,MN 12,Washington Heights/Inwood,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,53.3%,50.3%,50.1%,43.7%,,,312
3,MN 12,Washington Heights/Inwood,Demographics,Population,"All people, both children and adults, living in a given geographic area.","208,414","208,867","205,414","204,096",,,312
4,MN 12,Washington Heights/Inwood,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,9.9%,12.5%,12.0%,15.6%,,,312
5,MN 12,Washington Heights/Inwood,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,40.8%,34.0%,28.7%,25.8%,,,312
6,MN 12,Washington Heights/Inwood,Demographics,Single-person households,The share of households that include only one person.,,34.0%,32.0%,36.7%,,,312
7,MN 12,Washington Heights/Inwood,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,2.0%,1.4%,2.0%,2.5%,,,312
8,MN 12,Washington Heights/Inwood,Demographics,Percent Black,The percentage of the total population that identifies as black (non-Hispanic).,8.4%,8.6%,7.4%,7.9%,,,312
9,MN 12,Washington Heights/Inwood,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,74.1%,74.3%,70.2%,67.9%,,,312
10,MN 12,Washington Heights/Inwood,Demographics,Percent white,The percentage of the total population that identifies as white (non-Hispanic).,13.6%,14.1%,18.9%,19.2%,,,312
11,MN 12,Washington Heights/Inwood,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.43,0.42,0.47,0.49,,,312
12,MN 12,Washington Heights/Inwood,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,5.5,4.7,5.7,,,312
13,MN 12,Washington Heights/Inwood,Demographics,Median household income (2021$),The median household's total income of all members of the household aged 15 years or older.,"$49,540","$43,030","$49,960","$56,230",,,312
14,MN 12,Washington Heights/Inwood,Demographics,"Median household income, homeowners (2021$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$81,140","$118,320","$95,310",,,312
15,MN 12,Washington Heights/Inwood,Demographics,"Median household income, renters (2021$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$40,430","$46,410","$53,060",,,312
16,MN 12,Washington Heights/Inwood,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,29.8%,28.1%,19.5%,15.5%,,,312
17,MN 12,Washington Heights/Inwood,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,21.2%,22.0%,29.2%,,,312
18,MN 12,Washington Heights/Inwood,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,43.3%,26.5%,17.4%,,,312
19,MN 12,Washington Heights/Inwood,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,62.9%,67.0%,67.5%,,,312
20,MN 12,Washington Heights/Inwood,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,32.4%,33.3%,25.0%,,,312
21,MN 12,Washington Heights/Inwood,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",14.52%,11.34%,13.59%,6.16%,,,312
22,MN 12,Washington Heights/Inwood,Housing Market and Conditions,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,6.5%,8.3%,10.3%,10.5%,,,312
23,MN 12,Washington Heights/Inwood,Housing Market and Conditions,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"73,528","75,528","81,726",,,312
24,MN 12,Washington Heights/Inwood,Housing Market and Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,1.2%,1.7%,,,312
25,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,122.1,153.9,181.3,131.4,174.7,312
26,MN 12,Washington Heights/Inwood,Housing Market and Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,3.9%,5.0%,,,312
27,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,634.9,650.4,654.2,427.9,593.5,312
28,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",24.6,13.9,9.9,0.7,,2.1,312
29,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,30,19,36,6,,4,312
30,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,13,8,10,1,,2,312
31,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,1,1,1,0,,1,312
32,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,11.8,7.6,15.2,312
33,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,16,11,21,312
34,MN 12,Washington Heights/Inwood,Housing Market and Conditions,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,1,0,1,,,,312
